         3929067 function calls (3923283 primitive calls) in 26.767 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        1    0.000    0.000    0.001    0.001 __init__.py:2(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:2008(NullHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:2024(createLock)
        1    0.000    0.000    0.003    0.003 __init__.py:206(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:211(c_ulonglong)
       13    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       13    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:232(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
       14    0.000    0.000    0.000    0.000 __init__.py:25(register_func)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.001    0.001 __init__.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:27(AsymmetricVerificationContext)
       32    0.000    0.000    0.002    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.041    0.021 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
       25    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
        2    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:350(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:366(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:371(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:373(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:377(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:379(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:386(StrFormatStyle)
      157    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:388(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:395(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:397(HRESULT)
        2    0.000    0.000    0.135    0.068 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:410(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:419(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:419(LibraryLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:42(__getattr__)
        4    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:423(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        2    0.000    0.000    0.018    0.009 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:463(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:482(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:49(check_compatibility)
        9    0.000    0.000    0.043    0.005 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:593(BufferingFormatter)
        1    0.000    0.000    0.046    0.046 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:635(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:672(Filterer)
       12    0.000    0.000    0.000    0.000 __init__.py:677(__init__)
        1    0.000    0.000    0.029    0.029 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:744(_addHandlerRef)
